Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
1792	SUCCESS	2	256	0.21	0.1	0.31
1191	SUCCESS	2	17	0.21	0.1	0.31
2410	SUCCESS	2	177	0.21	0.1	0.31
2939	SUCCESS	2	98	0.21	0.1	0.31
1795	SUCCESS	2	259	0.21	0.1	0.31
1262	SUCCESS	2	60	0.21	0.1	0.31
218	SUCCESS	2	100	0.21	0.1	0.31
1336	SUCCESS	2	100	0.21	0.1	0.31
1201	SUCCESS	2	21	0.21	0.1	0.31
156	SUCCESS	2	61	0.21	0.1	0.31
1263	SUCCESS	2	61	0.21	0.1	0.31
1338	SUCCESS	2	101	0.21	0.1	0.31
1385	SUCCESS	2	141	0.21	0.1	0.31
2414	SUCCESS	2	181	0.21	0.1	0.31
2829	SUCCESS	2	22	0.21	0.1	0.31
1339	SUCCESS	2	102	0.21	0.1	0.31
2459	SUCCESS	2	222	0.21	0.1	0.31
222	SUCCESS	2	104	0.21	0.1	0.31
2418	SUCCESS	2	184	0.21	0.1	0.31
1940	SUCCESS	2	26	0.21	0.1	0.31
2834	SUCCESS	2	26	0.21	0.1	0.31
1809	SUCCESS	2	266	0.21	0.1	0.31
304	SUCCESS	2	148	0.21	0.1	0.31
173	SUCCESS	2	69	0.21	0.1	0.31
2225	SUCCESS	2	69	0.21	0.1	0.31
2910	SUCCESS	2	69	0.21	0.1	0.31
1817	SUCCESS	2	269	0.21	0.1	0.31
2841	SUCCESS	2	31	0.21	0.1	0.31
2912	SUCCESS	2	71	0.21	0.1	0.31
234	SUCCESS	2	111	0.21	0.1	0.31
1819	SUCCESS	2	271	0.21	0.1	0.31
237	SUCCESS	2	113	0.21	0.1	0.31
2844	SUCCESS	2	34	0.21	0.1	0.31
1280	SUCCESS	2	74	0.21	0.1	0.31
1358	SUCCESS	2	114	0.21	0.1	0.31
2373	SUCCESS	2	154	0.21	0.1	0.31
111	SUCCESS	2	35	0.21	0.1	0.31
1281	SUCCESS	2	75	0.21	0.1	0.31
2234	SUCCESS	2	75	0.21	0.1	0.31
239	SUCCESS	2	115	0.21	0.1	0.31
1831	SUCCESS	2	275	0.21	0.1	0.31
2846	SUCCESS	2	36	0.21	0.1	0.31
1764	SUCCESS	2	236	0.21	0.1	0.31
1954	SUCCESS	2	37	0.21	0.1	0.31
2236	SUCCESS	2	77	0.21	0.1	0.31
2431	SUCCESS	2	197	0.21	0.1	0.31
887	SUCCESS	2	237	0.21	0.1	0.31
